position,input Position,company,location,input City,salary
Marketing Director/Clinical Liason,web3 strategy,Sunset Lake Health and Rehabilitation Center,"Venice, FL
+2 locations",Venice,51.1
Ecommerce Director,web3 strategy,Fit2Run The Runner's Superstore,"Bradenton, FL 34211",Venice,71.19999999999999
Director de Mercadeo de una página web,web3 strategy,Saboriza,Remote in Florida,Venice,124.8
Regional Sales Manager Grocery Channel,web3 strategy,Navajo Incorporated,Florida,Venice,87.5
General Manager - LCAM,web3 strategy,"KW Property Management, LLC","Venice, FL",Venice,95.0
Director of Career Services,web3 strategy,Ringling College of Art Design,"Sarasota, FL",Venice,80.5
Database Administrator with SSIS Experience - Remote,web3 strategy,Intertape Polymer Group,Remote in Florida,Venice,68.0
Inside Sales & Marketing Coordinator,web3 strategy,Inline Filling Systems Inc,"Venice, FL 34285 
(Gateway/ Waterway area)",Venice,65.0
Multimedia Producer,web3 strategy,New College of Florida,"Sarasota, FL 34243 
(Indian Beach-Sapphire Shores area)",Venice,47.138
Director of Food and Beverage,web3 strategy,"Sunseeker Resorts, Inc.","Port Charlotte, FL 33980
+1 location",Venice,63.599999999999994
Title I Achievement & Family Associate,web3 strategy,Charlotte County Public Schools,"Port Charlotte, FL 33952",Venice,47.2
Marketing Director/Clinical Liason,web3 strategy,Sunset Lake Health and Rehabilitation Center,"Venice, FL
+2 locations",Venice,51.1
Ecommerce Director,web3 strategy,Fit2Run The Runner's Superstore,"Bradenton, FL 34211",Venice,71.19999999999999
Director de Mercadeo de una página web,web3 strategy,Saboriza,Remote in Florida,Venice,124.8
Regional Sales Manager Grocery Channel,web3 strategy,Navajo Incorporated,Florida,Venice,87.5
General Manager - LCAM,web3 strategy,"KW Property Management, LLC","Venice, FL",Venice,95.0
Director of Career Services,web3 strategy,Ringling College of Art Design,"Sarasota, FL",Venice,80.5
Database Administrator with SSIS Experience - Remote,web3 strategy,Intertape Polymer Group,Remote in Florida,Venice,68.0
Inside Sales & Marketing Coordinator,web3 strategy,Inline Filling Systems Inc,"Venice, FL 34285 
(Gateway/ Waterway area)",Venice,65.0
Multimedia Producer,web3 strategy,New College of Florida,"Sarasota, FL 34243 
(Indian Beach-Sapphire Shores area)",Venice,47.138
Director of Food and Beverage,web3 strategy,"Sunseeker Resorts, Inc.","Port Charlotte, FL 33980
+1 location",Venice,63.599999999999994
Title I Achievement & Family Associate,web3 strategy,Charlotte County Public Schools,"Port Charlotte, FL 33952",Venice,47.2
"Account Based Marketing Manager, Web3",web3 strategy,Circle,"Remote in Austin, TX",Austin,99.3
"Director of Community, Developer and Ecosystem Marketing",web3 strategy,Circle,"Remote in Austin, TX",Austin,130.0
Innovation Program Coordinator,web3 strategy,Upbring,"Austin, TX 78754",Austin,49.7
Ecosystem User Success Director,web3 strategy,Gnosis,"Remote in Austin, TX",Austin,97.45
"Senior Product Marketing Manager, Web3",web3 strategy,Circle,"Remote in Austin, TX",Austin,120.5
"Senior Director, Partnerships, Web3 and Gaming Ecosystem",web3 strategy,Circle,"Remote in Austin, TX",Austin,120.0
Product Manager (Truffle),web3 strategy,Consensys,"Remote in Austin, TX",Austin,143.0
"Technical Lead, Web3",web3 strategy,Wursta Corporation,"Austin, TX 78702 
(Rosewood area)",Austin,135.5
Financial Product Compliance Manager,web3 strategy,Meta,"Austin, TX",Austin,118.0
Senior Social Media Analyst,web3 strategy,Circle,"Remote in Austin, TX",Austin,74.8
Principal Backend Software Engineer,web3 strategy,"Nasdaq, Inc.","Austin, TX 73301 
(St Edwards area)",Austin,154.0
"Lead Commercial Counsel, Payments (Web3)",web3 strategy,Facebook App,"Austin, TX",Austin,162.5
Web3/Metaverse Engineer,web3 strategy,Razorfish,"Austin, TX 78701 
(Downtown area)",Austin,96.5
"Account Based Marketing Manager, Web3",web3 strategy,Circle,"Remote in Austin, TX",Austin,99.3
"Director of Community, Developer and Ecosystem Marketing",web3 strategy,Circle,"Remote in Austin, TX",Austin,130.0
Ecosystem User Success Director,web3 strategy,Gnosis,"Remote in Austin, TX",Austin,97.45
Innovation Program Coordinator,web3 strategy,Upbring,"Austin, TX 78754",Austin,49.7
"Technical Lead, Web3",web3 strategy,Wursta Corporation,"Austin, TX 78702 
(Rosewood area)",Austin,135.5
Product Manager (Truffle),web3 strategy,Consensys,"Remote in Austin, TX",Austin,143.0
"Senior Director, Partnerships, Web3 and Gaming Ecosystem",web3 strategy,Circle,"Remote in Austin, TX",Austin,120.0
"Senior Product Marketing Manager, Web3",web3 strategy,Circle,"Remote in Austin, TX",Austin,120.5
Financial Product Compliance Manager,web3 strategy,Meta,"Austin, TX",Austin,118.0
Web3/Metaverse Engineer,web3 strategy,Razorfish,"Austin, TX 78701 
(Downtown area)",Austin,96.5
"Lead Commercial Counsel, Payments (Web3)",web3 strategy,Facebook App,"Austin, TX",Austin,162.5
Senior Social Media Analyst,web3 strategy,Circle,"Remote in Austin, TX",Austin,74.8
Web3 Account Executive (NY-based),web3 strategy,Job Protocol,"Remote in New York, NY",New York,105.0
Chief Marketing Officer,web3 strategy,LinksDAO,"Remote in New York, NY",New York,132.5
Account Executive - Web3,web3 strategy,What Is 9 to 5,"Remote in New York, NY",New York,105.0
Head of Data,web3 strategy,Consensys,"Remote in Brooklyn, NY 11206",New York,109.05
"Account Based Marketing Manager, Web3",web3 strategy,Circle,"Remote in New York, NY",New York,98.5
Innovation Manager,web3 strategy,LVMH Holdings,"New York, NY",New York,88.69999999999999
"Director of Community, Developer and Ecosystem Marketing",web3 strategy,Circle,"Remote in New York, NY",New York,120.0
"Senior Marketing Manager, ConsenSys Research",web3 strategy,Consensys,"Remote in New York, NY 10036",New York,96.8
Human Resources Lead (Remote-First),web3 strategy,Metatheory,"Remote in New York, NY",New York,92.35
HR Manager,web3 strategy,Aptos,"Remote in New York, NY",New York,89.5
Social Media Coordinator - Remote,web3 strategy,Cool Cats NFT,"Remote in New York, NY",New York,54.3
Senior Associate/Principal,web3 strategy,Betaworks Ventures Management,"New York, NY",New York,137.0
Global Head of Growth Marketing,web3 strategy,Consensys,"Remote in New York, NY 10036",New York,172.0
Social Media Manager,web3 strategy,Hedge Labs,"Remote in New York, NY",New York,51.8
Social Media Manager,web3 strategy,Parcl,"New York, NY",New York,64.7
Social Media Director,web3 strategy,Consensys,"Remote in New York, NY 10036",New York,114.5
Social Media Manager,web3 strategy,Prime Protocol,"Remote in New York, NY",New York,49.9
Social Media Manager (Developer Tools),web3 strategy,Consensys,"Remote in New York, NY 10036",New York,98.45
"Director, Global Digital Media",web3 strategy,MasterCard,"Hybrid remote in Purchase, NY 10577",New York,128.5
Product Marketing Manager,web3 strategy,Hedge Labs,"Remote in New York, NY",New York,99.45
"VP, Analytics and A&R Research",web3 strategy,Sony Music Entertainment US,"New York, NY",New York,99.3
Vayner3 Creator Resident,web3 strategy,VaynerMedia LLC,"Remote in New York, NY 10001",New York,42.9
Marketing Coordinator,web3 strategy,Horizen Labs,"Remote in New York, NY",New York,64.1
"Product Manager, Media/Entertainment",web3 strategy,Aptos,"Remote in New York, NY
+1 location",New York,120.0
"Editor, Social Player Development",web3 strategy,National Hockey League,"New York, NY 10036 
(Midtown area)",New York,50.3
"NYC BASED: Public Relations, Social Media & Marketing Coordi...",web3 strategy,from apple to orange,"New York, NY 10011 
(Flatiron area)",New York,40.0
DESIGN DIRECTOR,web3 strategy,Gallery Media Group,"New York State
+1 location",New York,112.95
Social Media Manager,web3 strategy,Parcl,"New York, NY",New York,64.7
Web3 Account Executive (NY-based),web3 strategy,Job Protocol,"Remote in New York, NY",New York,105.0
Account Executive - Web3,web3 strategy,What Is 9 to 5,"Remote in New York, NY",New York,105.0
Innovation Manager,web3 strategy,LVMH Holdings,"New York, NY",New York,88.69999999999999
Social Media Manager,web3 strategy,Hedge Labs,"Remote in New York, NY",New York,51.8
"Account Based Marketing Manager, Web3",web3 strategy,Circle,"Remote in New York, NY",New York,98.5
Social Media Director,web3 strategy,Consensys,"Remote in New York, NY 10036",New York,114.5
Head of Data,web3 strategy,Consensys,"Remote in Brooklyn, NY 11206",New York,109.05
Social Media Coordinator - Remote,web3 strategy,Cool Cats NFT,"Remote in New York, NY",New York,54.3
Social Media Manager,web3 strategy,Prime Protocol,"Remote in New York, NY",New York,49.9
HR Manager,web3 strategy,Aptos,"Remote in New York, NY",New York,89.5
Chief Marketing Officer,web3 strategy,LinksDAO,"Remote in New York, NY",New York,132.5
"Director, Global Digital Media",web3 strategy,MasterCard,"Hybrid remote in Purchase, NY 10577",New York,128.5
"Senior Marketing Manager, ConsenSys Research",web3 strategy,Consensys,"Remote in New York, NY 10036",New York,96.8
Human Resources Lead (Remote-First),web3 strategy,Metatheory,"Remote in New York, NY",New York,92.35
Senior Associate/Principal,web3 strategy,Betaworks Ventures Management,"New York, NY",New York,137.0
Design Director,web3 strategy,Gallery Media Group,"New York, NY
+1 location",New York,119.0
"VP, Analytics and A&R Research",web3 strategy,Sony Music Entertainment US,"New York, NY",New York,99.3
Social Media Manager (Developer Tools),web3 strategy,Consensys,"Remote in New York, NY 10036",New York,98.45
Global Head of Growth Marketing,web3 strategy,Consensys,"Remote in New York, NY 10036",New York,172.0
"Director of Community, Developer and Ecosystem Marketing",web3 strategy,Circle,"Remote in New York, NY",New York,120.0
Vayner3 Creator Resident,web3 strategy,VaynerMedia LLC,"Remote in New York, NY 10001",New York,42.9
Product Marketing Manager,web3 strategy,Hedge Labs,"Remote in New York, NY",New York,99.45
"Editor, Social Player Development",web3 strategy,National Hockey League,"New York, NY 10036 
(Midtown area)",New York,50.3
"Product Manager, Media/Entertainment",web3 strategy,Aptos,"Remote in New York, NY
+1 location",New York,120.0
Senior Data Analyst,web3 strategy,Consensys,"New York, NY 10036 
(Midtown area)",New York,84.7
"NYC BASED: Public Relations, Social Media & Marketing Coordi...",web3 strategy,from apple to orange,"New York, NY 10011 
(Flatiron area)",New York,40.0
"Senior Marketing Manager, ConsenSys Research",web3 strategy,Consensys,"Remote in New York, NY 10036",New York,96.8
Innovation Manager,web3 strategy,LVMH Holdings,"New York, NY",New York,88.69999999999999
Social Media Manager,web3 strategy,Parcl,"New York, NY",New York,64.7
Social Media Manager,web3 strategy,Hedge Labs,"Remote in New York, NY",New York,51.8
Social Media Director,web3 strategy,Consensys,"Remote in New York, NY 10036",New York,114.5
"Account Based Marketing Manager, Web3",web3 strategy,Circle,"Remote in New York, NY",New York,98.5
Head of Data,web3 strategy,Consensys,"Remote in Brooklyn, NY 11206",New York,109.05
Account Executive - Web3,web3 strategy,What Is 9 to 5,"Remote in New York, NY",New York,105.0
Web3 Account Executive (NY-based),web3 strategy,Job Protocol,"Remote in New York, NY",New York,105.0
Social Media Manager,web3 strategy,Prime Protocol,"Remote in New York, NY",New York,49.9
Chief Marketing Officer,web3 strategy,LinksDAO,"Remote in New York, NY",New York,132.5
